Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
"Software Engineer - (Python, AWS)",Tapad,Hyderabad,3-8 Yrs,You will have hands-on experience with AIOboto3 and an understanding of building scalab...,https://www.naukri.com/job-listings-software-engineer-python-aws-tapad-hyderabad-3-to-8-years-270625503042,"Computer science, Backend, NoSQL, Stock exchange, Healthcare, Wellness, Automotive, Financial services",1 week ago
"Associate Software Engineer - Python, AWS",Reuters,Bengaluru,0-3 Yrs,bachelors in computer science or equivalent work experience. Make an impact in your com...,https://www.naukri.com/job-listings-associate-software-engineer-python-aws-reuters-news-agency-bengaluru-0-to-3-years-250625504447,"Computer science, Career development, Analytical, Consulting, Debugging, Agile, Flex, Application development",1 week ago
Software Engineer III- AI/ML Python & AWS,JPMorgan Chase Bank,Bengaluru,0-6 Yrs,"As a Software Engineer III at JPMorgan Chase within the Employee Platforms team, you...",https://www.naukri.com/job-listings-software-engineer-iii-ai-ml-python-aws-jp-morgan-chase-bengaluru-0-to-6-years-200625501275,"remediation, Front end, Linux, Debugging, Agile, Data structures, Risk management, Monitoring",2 weeks ago
Data Engineer,Acenet,"Pune, Noida, Hyderabad, Gurugram, Bengaluru",4-6 Yrs,"Hands-on experience with Databricks Unity Catalog, Federated Catalog, and Infrastructur...",https://www.naukri.com/job-listings-data-engineer-acenet-noida-hyderabad-pune-gurugram-bengaluru-4-to-6-years-010725501885,"Supply chain, Computer science, Version control, GIT, data security, Healthcare, Financial services, SQL",4 days ago
Senior Data Engineer,Savii,Remote,4-8 Yrs,Develop modular and reusable workflows for both batch and streaming data processing usi...,https://www.naukri.com/job-listings-senior-data-engineer-savii-remote-4-to-8-years-280625503108,"Performance tuning, Data modeling, Coding, MySQL, Debugging, Agile, Analytics, Monitoring",1 week ago
Python AWS developer,Virtusa,Pune,7-12 Yrs,"To be successful in this role, you should meet the following requirements: Extensive ex...",https://www.naukri.com/job-listings-python-aws-developer-virtusa-consulting-services-pvt-ltd-pune-7-to-12-years-270625921518,"java development, spring, java, automation tools, scripting languages, automation framework, continuous integration, kubernetes",1 week ago
Python Developer,Leading Client,Pune,3-5 Yrs,"Duration - 3 months ( 80% possibility, it will be extended). Notice - Immediate, the ca...",https://www.naukri.com/job-listings-python-developer-basebiz-private-limited-pune-3-to-5-years-230625914620,"Python, REST API, CSS, PostgreSQL, Django, MySQL, SQLite, JavaScript",1 week ago
"API / Data Engineer (Python, PosgreSQL, API's, AWS)",Turing Global India,Remote,3-7 Yrs,"Experience with Python, PostgreSQL, API engineering, and AWS. Strong knowledge of SQLAl...",https://www.naukri.com/job-listings-api-data-engineer-python-posgresql-api-s-aws-turing-remote-3-to-7-years-140125507551,"Interpersonal skills, Investment research, Postgresql, market data, Management, AWS, Python, Investment",3+ weeks ago
AWS Developer,Persistent,Pune,4-8 Yrs,"We invite applications from all qualified individuals, including those with disabilitie...",https://www.naukri.com/job-listings-aws-developer-persistent-systems-limited-pune-4-to-8-years-161024023157,"continuous integration, kubernetes, ci/cd, tools, helm, containerization, cloud, git",1 week ago
Python Senior Developer,Infosys,Pune,3-5 Yrs,"Bachelor of Engineering, BTech, BSc, BCA, MSc, MCA, MTech . Service Line Preferred . Go...",https://www.naukri.com/job-listings-python-senior-developer-infosys-limited-pune-3-to-5-years-270625922088,"python, performance engineering, agile, sdlc, agile methodology, css, data validation, test cases",1 week ago
Senior Data Scraping Engineer,Vinculum Solutions,"Ahmedabad, Gandhinagar, Bengaluru",3-7 Yrs,"The ideal candidate will have 8-10 years of experience in ethical web scraping, includi...",https://www.naukri.com/job-listings-senior-data-scraping-engineer-vinculum-solutions-gandhinagar-ahmedabad-bengaluru-3-to-7-years-240625013885,"Scrapy, Data Scraping Engineer, Scraping Engineer, Data Engineer, Python, Bright Data, Node.Js, Apache",1 week ago
Data Engineer,NPS Prism,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",3-6 Yrs,"Bachelor s or Master s degree in Computer Science, Information Technology, Engineering,...",https://www.naukri.com/job-listings-data-engineer-nps-prism-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-280625500828,"Computer science, Automation, Version control, Data management, Data processing, Data quality, Information technology, Distribution system",1 week ago
Data Engineer,Eclinical Solutions,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",3-8 Yrs,Bachelors degree or equivalent experience preferred . Experience in Microsoft Office Ap...,https://www.naukri.com/job-listings-data-engineer-eclinical-solutions-llc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-280625500799,"Business objects, Db2, Cognos, Datastage, SSRS, PLSQL, HTML, Informatica",1 week ago
Data Engineer,Honeybee Tech Solutions,Pune,3-6 Yrs,"Interview Mode: Face to Face Only Experience with big data technologies like Hadoop, an...",https://www.naukri.com/job-listings-data-engineer-honeybee-tech-solutions-pune-3-to-6-years-020725020003,"SQL, Data Engineering, PYSPARK, PYTHON, Engineering, Data",3 days ago
Python + AWS Developer,Xtag Services,Remote,8-13 Yrs,Proficiency in Infrastructure as Code using Terraform and CDK for TerraformProven exper...,https://www.naukri.com/job-listings-python-aws-developer-xtag-services-remote-8-to-13-years-210625500211,"Backend, Architecture, Cloud, Active directory, Infrastructure, Deployment, AWS, Python",2 weeks ago
DevOps Engineer II,Datarobot,Remote,3-6 Yrs,Job Description: DataRobot delivers AI that maximizes impact and minimizes bu...,https://www.naukri.com/job-listings-devops-engineer-ii-datarobot-remote-3-to-6-years-300625501747,"Computer science, Administration, Cloud computing, Automation, Networking, Debugging, Machine learning, Infrastructure",5 days ago
Python Developer,Sourcefuse Technologies,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",1-2 Yrs,"Job Type: FULL TIME Bachelor s degree in Computer Science, Software Engineering, or a r...",https://www.naukri.com/job-listings-python-developer-sourcefuse-technologies-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-010725502415,"IT services, Computer science, System architecture, Data modeling, Coding, Debugging, Agile, Unit testing",4 days ago
Data Engineer - AWS + Python,Fractal Analytics,"Pune, Noida, Mumbai, Chennai, Gurugram, Bengaluru",3-5 Yrs,"As a Data Engineer, you will be responsible implementing complex data pipelines an...",https://www.naukri.com/job-listings-data-engineer-aws-python-fractal-analytics-ltd-noida-mumbai-pune-chennai-gurugram-bengaluru-3-to-5-years-150425502694,"Computer vision, customer analytics, Machine learning, Data analytics, Apache, AWS, Analytics, SQL",3+ weeks ago
Data Engineer _ AWS + Python,Neal Analytics,"Pune, Noida, Mumbai, Chennai, Gurugram, Bengaluru",3-5 Yrs,"Experience implementing Redshift on AWS or any one of Databricks on AWS, or Snowflake o...",https://www.naukri.com/job-listings-data-engineer-aws-python-neal-analytics-noida-mumbai-pune-chennai-gurugram-bengaluru-3-to-5-years-150425501866,"Computer vision, customer analytics, Machine learning, Data analytics, Apache, AWS, Analytics, SQL",3+ weeks ago
Data Engineer (AWS + Python Developer),Neal Analytics,"Pune, Mumbai, Chennai, Gurugram, Bengaluru",2-7 Yrs,Neal Analytics is looking for Data Engineer (AWS + Python Developer) to join our dynami...,https://www.naukri.com/job-listings-data-engineer-aws-python-developer-neal-analytics-mumbai-pune-chennai-gurugram-bengaluru-2-to-7-years-130924500582,"Analytical skills, Focus, AWS, Python, Analytical, Data Engineering, Development, Analytical Skill",3+ weeks ago
"Data Engineer openings at US Healthcare MNC - Advantum, Hyd",Advantum Health,Hyderabad(HITEC City),3-8 Yrs,"Hands-on experience with cloud platforms (AWS, GCP, or Azure) and cloud data services (...",https://www.naukri.com/job-listings-data-engineer-openings-at-us-healthcare-mnc-advantum-hyd-advantum-health-hyderabad-3-to-8-years-040725023995,"Data Engineering, Data Engineer, Airflow, Kafka, Prefect, Ci/Cd, Devops, Docker",1 day ago
Python Developer with AWS opening | Pune location,Cynbrix Consulting,Pune,4-9 Yrs,Must have skills : Extensive exp on AWS and Python DevelopmentNP : Immediate joinerLoca...,https://www.naukri.com/job-listings-python-developer-with-aws-opening-pune-location-cynbrix-consulting-pune-4-to-9-years-040625015212,"python, aws, Python Framework, Python Development, python developer, python programmer, Development, Framework",3+ weeks ago
Data Engineer,Anchanto Services,Pune,2-7 Yrs,"The candidate must possess strong technical knowledge in data engineering, orchestratio...",https://www.naukri.com/job-listings-data-engineer-anchanto-saas-technology-pune-2-to-7-years-200625501153,"orchestration, data science, Machine learning, Cloud, Design development, Deployment, Predictive modeling, AWS",2 weeks ago
Associate-Data Engineer (DIG),Tresvista Financial Services,"Hybrid - Pune, Mumbai (All Areas)",3-8 Yrs,Overview: TresVista is looking to hire an Associate in its Data Intelligence Group team...,https://www.naukri.com/job-listings-associate-data-engineer-dig-tresvista-financial-services-pune-mumbai-all-areas-3-to-8-years-240625028610,"Data Engineer, SQL, Python, Etl Pipelines, Pyspark, Data Pipeline, Data Lake, Data Warehousing",1 week ago
