Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Senior AI Developer,Corient Business Solutions,Mumbai (All Areas),2-4 Yrs,"Knowledge of Pandas, Numpy, Statistics, SciPy is mustProficient in programming language...",https://www.naukri.com/job-listings-senior-ai-developer-corient-business-solutions-mumbai-all-areas-2-to-4-years-220625004700,"Scipy, Python, Tensorflow, Java, C++, Detectron2, scikit-learn, NumPy",1 week ago
Python - Senior Engineer,Iris Software,Noida,6-8 Yrs,. Should be having 6 to 8 years of industry experience. Strong with libraries like Pand...,https://www.naukri.com/job-listings-python-senior-engineer-iris-software-technologies-private-limited-noida-6-to-8-years-010725917586,"numpy, microservices, scipy, python, pandas, css, dbms, jquery",4 days ago
Python Developer,Volody Product,Mumbai,2-4 Yrs,"Develop and maintain Python-based applications, with a focus on Flask for web developme...",https://www.naukri.com/job-listings-python-developer-volody-product-inc-mumbai-2-to-4-years-060625910308,"Python, Azure, Beautiful Soup, Flask framework, scikit-learn, Google Cloud Platform, APIs, MySQL",3+ weeks ago
Software Engineer - AI/ML,ValGenesis,Hyderabad,2-7 Yrs,"Experience with one or more Graph DBs - Neo4J, ArangoDB Develop production-grade ML mod...",https://www.naukri.com/job-listings-software-engineer-ai-ml-valgenesis-india-pvt-ltd-hyderabad-2-to-7-years-190625032944,"scipy, python, natural language processing, scikit-learn, interpersonal skills, aiml, numpy, machine learning",2 weeks ago
Senior Data Scientist | Snowflakes | Tableau | AI/ML,Cisco,Bengaluru,0-2 Yrs,"Minimum Qualifications. Bachelors or Masters degree in Computer Science, Statistics, Ma...",https://www.naukri.com/job-listings-senior-data-scientist-snowflakes-tableau-ai-ml-cisco-systems-india-private-limited-bengaluru-0-to-2-years-120625935045,"machine learning, artificial intelligence, sql, tableau, data visualization, snowflake, scipy, python",3 weeks ago
Senior Data Scientist - YouAppi,Affle,"Gurugram, Bengaluru",3-6 Yrs,Experience querying and processing data using SQL and working with distributed data sto...,https://www.naukri.com/job-listings-senior-data-scientist-youappi-affle-gurugram-bengaluru-3-to-6-years-090625500460,"deep learning frameworks, snowflake, scipy, python, modeling, adtech, scikit-learn, amazon redshift",3 weeks ago
MuleSoft developer / python,Fusion Plus Solutions,Hyderabad,3-6 Yrs,Mandatory Skills 1- Strong Python and MuleSoft development ExperienceNo of years experi...,https://www.naukri.com/job-listings-mulesoft-developer-python-fusion-plus-solutions-inc-hyderabad-3-to-6-years-301024500481,"css, nltk, numpy, api management, sql, spacy, xml, pytorch",3+ weeks ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),6-10 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-6-to-10-years-050725009576,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",Today
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),5-10 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-5-to-10-years-040725012795,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",1 day ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),7-12 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-7-to-12-years-030725016324,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",2 days ago
Python Developer,Leading Client,"Pune, Hyderabad, Bengaluru",7-10 Yrs,"Python Developer(Numpy, Scipy, Pandas, Dask, spaCy, NLTK, sci-kit-learn, and PyTorch) A...",https://www.naukri.com/job-listings-python-developer-best-hawk-infosystems-pvt-ltd-hyderabad-pune-bengaluru-7-to-10-years-230625922616,"Python, Scipy, spaCy, Dask, Pandas, Numpy, Development, Python Development",1 week ago
Computer Vision Engineer 39 Lakhs CTC || Kandi Srinivasa Reddy,Integra Technologies,"Ahmedabad, Bengaluru, Mumbai (All Areas)",7-9 Yrs,"Required Skills & Qualifications: . Computer Vision Frameworks: OpenCV, DLIB, MediaPipe...",https://www.naukri.com/job-listings-computer-vision-engineer-39-lakhs-ctc-kandi-srinivasa-reddy-vcloud-technologies-investment-ahmedabad-bengaluru-mumbai-all-areas-7-to-9-years-030425011070,"Ann, Cnn, Lstm, Rnn, Computer Vision, Tensorflow, JAX, Scipy",1 week ago
Senior Technical Specialist,Nokia,Bengaluru,7-12 Yrs,"Bachelors degree or equivalent, with 7 to 12 years of experience as a Data ScientistSta...",https://www.naukri.com/job-listings-senior-technical-specialist-nokia-solutions-and-networks-india-p-ltd-bengaluru-7-to-12-years-260625923472,"numpy, tensorflow, scipy, python, pandas, continuous integration, algorithms, c++",1 week ago
Python Developer,Rarr Technologies,Remote,7-12 Yrs,Preferred skills and qualifications 7+ years of experience as a Python Developer with ...,https://www.naukri.com/job-listings-python-developer-rarr-technologies-remote-7-to-12-years-260625503484,"Front end, NoSQL, Django, Machine learning, Javascript, Database, HTML, Open source",1 week ago
Azure Data Bricks,Apptad,Noida,5-10 Yrs,We are looking for a skilled Senior Azure Data Engineer with 5 to 10 years of experienc...,https://www.naukri.com/job-listings-azure-data-bricks-apptad-technologies-pvt-ltd-noida-5-to-10-years-300625913559,"scipy, python, pyspark, numpy, pandas, azure databricks, azure data lake, data warehousing",5 days ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),6-9 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-6-to-9-years-300625009816,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",5 days ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),6-11 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-6-to-11-years-020725014550,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",3 days ago
Junior Data Scientist,AGR Knowledge Services Pvt Ltd,Mumbai,2-4 Yrs,Good to Have: . Experience in handling both structured and unstructured datasets,https://www.naukri.com/job-listings-junior-data-scientist-agr-knowledge-services-pvt-ltd-mumbai-2-to-4-years-160625914703,"Data Science, Azure, PyTorch, NLP, MLOps, Docker, GCP, Pandas",2 weeks ago
Python Developer - Kolkata,Madhu Jayanti International,Kolkata,2-5 Yrs,Proficiency in Python with 2+ years of hands-on experienceStrong experience with Flask ...,https://www.naukri.com/job-listings-python-developer-kolkata-madhu-jayanti-international-kolkata-2-to-5-years-090625008102,"API Integration, Python Developer, Flask, Devops And Deployment, SQL, Web scraping, Django, Pandas",3 weeks ago
Python Developer,Fortune India 500 Financial Services Firm,"Hybrid - Mumbai, Chennai",5-10 Yrs,Good knowledge and understanding of Windows Batch or PowerShell scripting Experience in...,https://www.naukri.com/job-listings-python-developer-teamware-solutions-mumbai-chennai-5-to-10-years-260625937393,"Banking And Finance, Python Development, Oracle SQL, Pandas, Numpy, Oracle, Finance, SQL",1 week ago
Python Developer 48 Lakhs CTC || Kandi Srinivasa,Integra Technologies,"Noida, Kolkata, Chennai",7-10 Yrs,"Required Skills & Qualifications: . Proficient in Python x, OOP, and design patterns Ex...",https://www.naukri.com/job-listings-python-developer-48-lakhs-ctc-kandi-srinivasa-vcloud-technologies-investment-noida-kolkata-chennai-7-to-10-years-040425006346,"Pyramid, Tornado, Python, Flask, Django, Scipy, Python Framework, ORM",2 weeks ago
Principal Technical Specialist,Nokia,Bengaluru,12-15 Yrs,Bachelors degree in Engineering with 12 to 15 years of relevant work experienceExperien...,https://www.naukri.com/job-listings-principal-technical-specialist-nokia-solutions-and-networks-india-p-ltd-bengaluru-12-to-15-years-260625923460,"artificial intelligence, java, ml, python, aiml, golang, ems, numpy",1 week ago
Senior Data Science Consultant - Optimization Projects,Leading Client,Chennai,8-10 Yrs,"The ideal candidate should have a strong background in data science, operations researc...",https://www.naukri.com/job-listings-senior-data-science-consultant-optimization-projects-zorba-consulting-india-pvt-ltd-chennai-8-to-10-years-240625914828,"Data Science, SciPy, Operations Research, Pandas, Numpy, Scikit-Learn, Python, SQL",1 week ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),7-9 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-7-to-9-years-270625013227,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",1 week ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),6-7 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-6-to-7-years-240625015273,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",1 week ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),6-8 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-6-to-8-years-230625011812,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",1 week ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),5-8 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-5-to-8-years-210625008605,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",2 weeks ago
Python Software Developer,Vlink,"Noida, Gurugram, Bengaluru",5-10 Yrs,"Experience with Git, Docker, CI / CD, and modern development workflows. Required Qualif...",https://www.naukri.com/job-listings-python-software-developer-vlink-noida-gurugram-bengaluru-5-to-10-years-200625014039,"Fast Api, Scipy, Pandas, Numpy, Scikit-Learn, Software, Software development, API",2 weeks ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),7-10 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-7-to-10-years-200625010073,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",2 weeks ago
Senior Technical Specialist,Nokia,Bengaluru,7-12 Yrs,"Bachelors degree or equivalent, with 7 to 12 years of experience as a Data ScientistSta...",https://www.naukri.com/job-listings-senior-technical-specialist-nokia-solutions-and-networks-india-p-ltd-bengaluru-7-to-12-years-260625923751,"scipy, python, numpy, pandas, tensorflow, continuous integration, algorithms, stochastic calculus",1 week ago
