Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Principal Machine Learning Engineer,PubMatic,Pune,3-4 Yrs,. BE / BTech /MCA in Computers or equivalent . 7to 12 years of hands-on experience desi...,https://www.naukri.com/job-listings-principal-machine-learning-engineer-pubmatic-india-pvt-ltd-pune-3-to-4-years-240325503065,"Supply chain, Data analysis, digital content, Machine learning, Healthcare, Data mining, MATLAB, digital advertising",3+ weeks ago
AI Developer,Silent Infotech,Ahmedabad,1-6 Yrs,"Bachelor s Degree in Computer Science, Data Science, AI, or related field. As an AI dev...",https://www.naukri.com/job-listings-ai-developer-silent-infotech-pvt-ltd-ahmedabad-1-to-6-years-150425502057,"Computer science, Training, deep learning, Basic, data science, Machine learning, Research, Python",3+ weeks ago
Machine Learning Engineer,Turing Global India,Remote,1-4 Yrs,Highly efficient at Python with a basic understanding of Java / C++ or related language...,https://www.naukri.com/job-listings-machine-learning-engineer-turing-remote-1-to-4-years-140125508119,"Electrical engineering, C++, spark, Cloud Services, Machine learning, Mentor, field engineering, Auditing",3+ weeks ago
Machine Learning Engineer,Turing Global India,Remote,3-7 Yrs,Experience working with cloud-based data warehouse technology such as BigQuery and Amaz...,https://www.naukri.com/job-listings-machine-learning-engineer-turing-remote-3-to-7-years-140125507928,"Supply chain, data science, Machine learning, Hypothesis Testing, Data processing, Forecasting, Distribution system, SQL",3+ weeks ago
Machine Learning Engineer,Mindpeers,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",2-5 Yrs,"Excellent coding, documentation, version control, and testing skills in Python . Profic...",https://www.naukri.com/job-listings-machine-learning-engineer-mindpeers-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-130723501351,"Version control, NoSQL, Coding, Underwriting, Machine learning, Natural language processing, data visualization, SQL",3+ weeks ago
Python AI/ML Developer,Emorphis,Indore,2-5 Yrs,. BE / B Tech / MCA/ M Tech (Computer Science). Knowledge in Natural language processin...,https://www.naukri.com/job-listings-python-ai-ml-developer-emorphis-technologies-indore-2-to-5-years-110325502639,"deep learning, Software design, Coding, OOAD, Software configuration management, Machine learning, Natural language processing, Object oriented programming",3+ weeks ago
Machine Learning Engineer,Mindstix Software Labs,Pune,3-8 Yrs,Mindstix is looking for a proficient Data Scientist with good Data Engineering and mode...,https://www.naukri.com/job-listings-machine-learning-engineer-mindstix-software-labs-pvt-pune-3-to-8-years-050424502040,"Supply chain, Computer science, SAN, Data management, Machine learning, Agile, Data structures, Information technology",3+ weeks ago
Python + Panda libraries - Senior Program Analyst - IT,WNS Holdings,Pune,2-3 Yrs,"Experience Required:Hands-on experience in Pandas library of Python, Power BI and Advan...",https://www.naukri.com/job-listings-python-panda-libraries-senior-program-analyst-it-wns-global-services-private-limited-pune-2-to-3-years-260625920173,"python, ms access, sql server, pandas, advanced excel, sql development, oracle, performance tuning",1 week ago
Python Developer,Maestrowiz Solutions,Madurai,2-5 Yrs,"Strong leadership and problem-solving skills, as well as the ability to analyze data an...",https://www.naukri.com/job-listings-python-developer-maestrowiz-solutions-madurai-2-to-5-years-160524501120,"python, css, natural language processing, python development, problem solving, numpy, machine learning, artificial intelligence",3+ weeks ago
Python Developer,Firecodex,Thiruvananthapuram,2-5 Yrs,Firecodex is looking for Python Developer to join our dynamic team and embark on a rewa...,https://www.naukri.com/job-listings-python-developer-firecodex-thiruvananthapuram-2-to-5-years-120225500068,"python, css, natural language processing, python development, numpy, machine learning, artificial intelligence, javascript",3+ weeks ago
Python Developer,Advent Talent Solutions,Hybrid - Hyderabad,9-14 Yrs,Position Overview: . We are seeking an experienced Backend Developer proficient in Pyth...,https://www.naukri.com/job-listings-python-developer-advent-talent-solutions-hyderabad-9-to-14-years-210625015190,"Fast Api, Microservices, Docker, Python Development, Sqlalchemy, Data Structures, Postgresql, Ci/Cd",2 weeks ago
Senior Python Developer,OrangeMantra,Noida,7-12 Yrs,"Required Skills & Qualifications: . Bachelors or Masters degree in Computer Science, En...",https://www.naukri.com/job-listings-senior-python-developer-orangemantra-noida-7-to-12-years-230625018384,"Pandas, Python, Restfull Api, Docker, Django, MySQL, Ci/Cd, AWS",1 week ago
Python Developer,Virtusa,Bengaluru,7-12 Yrs,We are seeking a highly skilled Python Developer with strong expertise in AWS Athena to...,https://www.naukri.com/job-listings-python-developer-virtusa-consulting-services-pvt-ltd-bengaluru-7-to-12-years-270625920302,"python, python development, data engineering, athena, aws, hive, data warehousing, sql",1 week ago
Data Engineer,Bestpeers Infosystem,Indore,1-3 Yrs,a Masters is a plusExperience Required:-Previous experience as a data engineer or in a ...,https://www.naukri.com/job-listings-data-engineer-bestpeers-infosystem-indore-1-to-3-years-260625030481,"ETL Tool, Pyspark, Azure Cloud, Postgresql, Pandas, Django Framework, AWS, Numpy",1 week ago
Machine Learning Engineer (with NLP & AWS Experience),Precognitas Health,Noida,4-9 Yrs,"Strong hands-on experience in core ML techniques: regression, classification, clusterin...",https://www.naukri.com/job-listings-machine-learning-engineer-with-nlp-aws-experience-precognitas-health-private-limited-noida-4-to-9-years-300625016289,"Machine Learning Pipelines, Natural Language Processing, Model Deployment & MLOps, AWS, Python, NLP, Ml Pipelines, Ml",5 days ago
Python Developer,Purpletalk,Hyderabad(Kondapur),2-3 Yrs,"REQUIRED SKILLS : . Bachelors degree in Computer Science, Engineering, or a related fie...",https://www.naukri.com/job-listings-python-developer-purpletalk-hyderabad-2-to-3-years-240625021338,"Rest Api Design, OOPS, Python, Flask, SQL, Design, API, Python Development",3 days ago
Data Engineer-Data Platforms,IBM,Mumbai,2-5 Yrs,"As a Data Engineer at IBM, you'll play a vital role in the development, design of appl...",https://www.naukri.com/job-listings-data-engineer-data-platforms-ibm-india-pvt-limited-mumbai-2-to-5-years-040725930532,"python, data processing, pyspark, data modeling, spark, data analysis, microsoft azure, data warehousing",1 day ago
Python / Django Developer,Jujubee Digital,Madurai,2-4 Yrs,- Must have 2 - 4 years of hands on experience in Python development - Must have ...,https://www.naukri.com/job-listings-python-django-developer-jujubee-digital-madurai-2-to-4-years-300425508300,"css, web services, scikit-learn, numpy, jquery, git, data science, postgresql",3+ weeks ago
