Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Automation Testing Engineer - Python,Qcentrio,Lucknow,5-8 Yrs,"Notice Period : Immediate - 15 daysTechnical Skill : Python Automation, Javascript, Sel...",https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-lucknow-5-to-8-years-250625910972,"Automation Testing Engineering, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,Hyderabad,5-8 Yrs,"Notice Period : Immediate - 15 daysTechnical Skill : Python Automation, Javascript, Sel...",https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-hyderabad-5-to-8-years-250625910959,"Automation Testing Engineering, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,Chennai,5-8 Yrs,Job Position : Python AutomationExperience : 4+ yrs experience in Python AutomationNoti...,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-chennai-5-to-8-years-240625933252,"Python, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,Kanpur,5-8 Yrs,Job Position : Python AutomationExperience : 4+ yrs experience in Python AutomationNoti...,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-kanpur-5-to-8-years-240625933246,"Automation Testing, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Application Testing, Selenium",1 week ago
Automation Testing Engineer - Python,Qcentrio,Chandigarh,5-8 Yrs,"Notice Period : Immediate - 15 daysTechnical Skill : Python Automation, Javascript, Sel...",https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-chandigarh-5-to-8-years-240625927491,"Automation, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,Surat,5-8 Yrs,Experience : 4+ yrs experience in Python Automation.,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-surat-5-to-8-years-240625926790,"Python, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,"New Delhi, Delhi / NCR",5-8 Yrs,Experience : 4+ yrs experience in Python Automation.,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-new-delhi-delhi-ncr-5-to-8-years-240625926770,"Python, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Sr SDET,Docusign,Bengaluru,7-12 Yrs,"Bachelors or Master s degree in Computer Science, Engineering, or related field . 7+ ye...",https://www.naukri.com/job-listings-sr-sdet-docusign-bengaluru-7-to-12-years-240625505824,"Automation, Data management, Testing tools, Performance testing, Agile, Selenium, Test cases, Oracle",1 week ago
Software Development Test Engineer,66degrees,Hybrid - Bengaluru,5-8 Yrs,66degrees is seeking a detail-oriented and motivated Senior QA Engineer with 47 years o...,https://www.naukri.com/job-listings-software-development-test-engineer-66degrees-bengaluru-5-to-8-years-230625007344,"Performance Testing, Java, Selenium Webdriver, Appium, JMeter, Jenkins, Maven, Rest Assured",1 week ago
Powerflex Automation engineer || 6 To 12 years || Gurgaon,Capgemini,Gurugram,6-11 Yrs,"Bachelor s degree in Engineering, Computer Science, or a related field",https://www.naukri.com/job-listings-powerflex-automation-engineer-6-to-12-years-gurgaon-capgemini-technology-services-india-limited-gurugram-6-to-11-years-260625923375,"c#, python, automation tools, java, automation engineering, software testing, hmi, regression testing",1 week ago
