id,match_id,content,bowler,batsman,over,ball,lemmatized,ball_type,shot_type,region
3200000000,128748,"Back of a length, angled into the body, nudged away to mid-wicket for an easy single.",Ben Stokes,Yashasvi Jaiswal,16,5,"back of a length , angled into the body , nudged away to mid-wicket for an easy single .",['back of a length'],[],[]
3180000000,128748,"FOUR! Gets it away! Very full and speared in towards middle and leg, Yashasvi Jaiswal plays a lovely on drive and punches it down the ground for a boundary.",Ben Stokes,Yashasvi Jaiswal,16,4,"four ! get it away ! very full and speared in towards middle and leg , yashasvi jaiswal play a lovely on drive and punch it down the ground for a boundary .",['full'],['drive'],[]
3140000000,128748,"Hard length again and around off, blocked from the crease and in front of point.",Ben Stokes,Yashasvi Jaiswal,16,3,"hard length again and around off , blocked from the crease and in front of point .",[],[],['point']
3110000000,128748,"Around the wicket to the left-hander, bowling it on hard length around off and gets it to straighten. Jaiswal comes forward and edges it down with soft hands towards third slip.",Ben Stokes,Yashasvi Jaiswal,16,2,"around the wicket to the left-hander , bowling it on hard length around off and get it to straighten . jaiswal come forward and edge it down with soft hand towards third slip .",[],[],[]
3090000000,128748,"Full and angling into the pads, flicked away down to long leg for a single.",Ben Stokes,Karun Nair,16,1,"full and angling into the pad , flicked away down to long leg for a single .",['full'],['flicked'],[]
3070000000,128748,"FOUR! Oh, that's clever and Jaiswal ends the over with another boundary. Back of a length, darting back in from around off, YJ hops back a bit and just angles it from the body and to the right of the gully fielder for four runs.",Josh Tongue,Yashasvi Jaiswal,15,6,"four ! oh , that 's clever and jaiswal end the over with another boundary . back of a length , darting back in from around off , yj hop back a bit and just angle it from the body and to the right of the gully fielder for four run .",['back of a length'],[],[]
3030000000,128748,"The in-between length now, hammered in around off, Jaiswal leaves it alone.",Josh Tongue,Yashasvi Jaiswal,15,5,"the in-between length now , hammered in around off , jaiswal leaf it alone .",[],[],[]
3000000000,128748,"On a good length, over off and middle, defended back to the bowler.",Josh Tongue,Yashasvi Jaiswal,15,4,"on a good length , over off and middle , defended back to the bowler .",['good length'],[],[]
2970000000,128748,"Banged in short and outside off, Jaiswal looks to swivel back and pull but mistimes it badly towards mid on.",Josh Tongue,Yashasvi Jaiswal,15,3,"banged in short and outside off , jaiswal look to swivel back and pull but mistimes it badly towards mid on .",['short'],['pull'],['mid on']
2950000000,128748,"FOUR! Picture perfect from Yashasvi Jaiswal! Overpitched and on off, YJ gets onto the front foot and drives it straight back past the bowler as the ball races away into the fence. India starting to get a real move on now as the 50 comes up as well.",Josh Tongue,Yashasvi Jaiswal,15,2,"four ! picture perfect from yashasvi jaiswal ! overpitched and on off , yj get onto the front foot and drive it straight back past the bowler a the ball race away into the fence . india starting to get a real move on now a the 50 come up a well .",['overpitched'],['drive'],[]
